订单ID,用户ID,订单时间,商品类别,单价,数量,总金额,用户评分,支付方式,地区
ORD20260416000449,USER_00188,2026-02-17 22:20:39.264853,电子产品,2294.97,1,2294.97,4.8,支付宝,西北
ORD20260416000183,USER_00121,2026-02-18 05:43:19.264853,服装鞋帽,463.17,2,926.34,3.1,支付宝,华东
ORD20260416000224,USER_00147,2026-02-18 09:53:14.264853,美妆护肤,632.33,1,632.33,4.7,支付宝,华东
ORD20260416000593,USER_00101,2026-02-18 15:59:19.264853,服装鞋帽,217.91,2,435.82,4.6,支付宝,华东
ORD20260416000181,USER_00190,2026-02-18 17:45:14.264853,家居用品,553.61,2,1107.22,3.4,微信支付,华北
ORD20260416000534,USER_00147,2026-02-18 21:25:50.264853,食品饮料,194.6,2,389.2,4.0,支付宝,华东
ORD20260416000257,USER_00147,2026-02-18 21:43:55.264853,服装鞋帽,285.29,1,285.29,3.0,微信支付,西北
ORD20260416000039,USER_00175,2026-02-19 02:59:53.264853,服装鞋帽,193.75,1,193.75,2.8,微信支付,华南
ORD20260416000526,USER_00101,2026-02-19 05:05:46.264853,食品饮料,81.47,1,81.47,3.7,银行卡,华北
ORD20260416000136,USER_00175,2026-02-19 07:42:44.264853,家居用品,439.61,4,1758.44,4.2,,华南
ORD20260416000384,USER_00018,2026-02-19 11:11:46.264853,食品饮料,61.89,2,123.78,2.9,支付宝,华南
ORD20260416000393,USER_00032,2026-02-19 16:53:32.264853,电子产品,1960.99,4,7843.96,4.0,微信支付,华北
ORD20260416000443,USER_00049,2026-02-20 02:23:44.264853,家居用品,450.66,2,901.32,4.0,支付宝,华东
ORD20260416000121,USER_00135,2026-02-20 03:23:59.264853,食品饮料,141.53,2,283.06,4.1,货到付款,华东
ORD20260416000471,USER_00106,2026-02-20 05:31:50.264853,服装鞋帽,568.39,2,1136.78,4.8,银行卡,华南
ORD20260416000271,USER_00178,2026-02-20 06:49:41.264853,电子产品,2912.21,1,2912.21,4.3,微信支付,华南
ORD20260416000097,USER_00188,2026-02-20 11:23:03.264853,食品饮料,241.13,5,1205.65,3.4,微信支付,华东
ORD20260416000508,USER_00076,2026-02-20 11:56:44.264853,美妆护肤,1110.33,1,1110.33,4.7,支付宝,华东
ORD20260416000335,USER_00176,2026-02-20 18:17:18.264853,家居用品,848.81,3,2546.43,3.5,微信支付,西南
ORD20260416000470,USER_00124,2026-02-20 22:29:19.264853,食品饮料,145.25,3,435.75,3.7,货到付款,华南
ORD20260416000406,USER_00176,2026-02-21 02:18:33.264853,食品饮料,98.88,2,197.76,,支付宝,华北
ORD20260416000003,USER_00093,2026-02-21 11:36:02.264853,电子产品,5000.0,1,5000.0,5.0,银行卡,华北
ORD20260416000170,USER_00134,2026-02-21 12:56:04.264853,服装鞋帽,291.93,3,875.79,4.7,微信支付,华东
ORD20260416000407,USER_00039,2026-02-21 13:01:10.264853,家居用品,937.84,2,1875.68,,支付宝,西北
ORD20260416000495,USER_00118,2026-02-21 17:01:40.264853,服装鞋帽,553.93,1,553.93,3.3,银行卡,华东
ORD20260416000494,USER_00126,2026-02-21 19:45:38.264853,服装鞋帽,800.0,3,2400.0,4.6,信用卡,华北
ORD20260416000056,USER_00009,2026-02-21 22:37:33.264853,电子产品,3879.03,5,19395.15,3.9,微信支付,华北
ORD20260416000171,USER_00028,2026-02-21 23:00:57.264853,服装鞋帽,236.57,2,473.14,4.4,支付宝,华北
ORD20260416000088,USER_00015,2026-02-22 01:43:56.264853,电子产品,3614.17,1,3614.17,4.8,微信支付,华北
ORD20260416000200,USER_00118,2026-02-22 01:51:25.264853,电子产品,1029.48,1,1029.48,4.0,银行卡,华北
ORD20260416000446,USER_00070,2026-02-22 01:56:22.264853,电子产品,1963.77,1,1963.77,3.7,微信支付,华中
ORD20260416000583,USER_00196,2026-02-22 02:02:07.264853,电子产品,4396.07,1,4396.07,4.6,微信支付,华东
ORD20260416000456,USER_00103,2026-02-22 03:27:16.264853,食品饮料,148.39,1,148.39,4.6,支付宝,华东
ORD20260416000365,USER_00046,2026-02-22 06:41:29.264853,电子产品,2149.48,1,2149.48,2.9,支付宝,华北
ORD20260416000455,USER_00005,2026-02-22 10:37:46.264853,电子产品,1408.49,5,7042.45,2.8,货到付款,华南
ORD20260416000479,USER_00058,2026-02-22 11:21:42.264853,食品饮料,67.57,1,67.57,3.9,支付宝,华东
ORD20260416000201,USER_00160,2026-02-22 12:01:37.264853,服装鞋帽,125.78,1,125.78,3.8,支付宝,西南
ORD20260416000289,USER_00009,2026-02-22 12:45:03.264853,服装鞋帽,603.5,3,1810.5,3.7,信用卡,华南
ORD20260416000445,USER_00170,2026-02-22 15:36:07.264853,服装鞋帽,350.11,1,350.11,4.2,支付宝,华东
ORD20260416000089,USER_00200,2026-02-22 16:43:46.264853,美妆护肤,1251.25,5,6256.25,4.1,支付宝,华东
ORD20260416000202,USER_00096,2026-02-22 16:45:57.264853,食品饮料,166.58,3,499.74,2.9,银行卡,华北
ORD20260416000531,USER_00034,2026-02-22 16:53:44.264853,家居用品,718.35,1,718.35,3.9,支付宝,东北
ORD20260416000364,USER_00158,2026-02-22 17:46:56.264853,服装鞋帽,275.55,1,275.55,5.0,微信支付,华东
ORD20260416000288,USER_00160,2026-02-22 19:03:33.264853,家居用品,474.72,3,1424.16,5.0,微信支付,华东
ORD20260416000582,USER_00135,2026-02-22 19:48:01.264853,服装鞋帽,607.75,1,607.75,2.9,支付宝,华北
ORD20260416000532,USER_00180,2026-02-22 19:58:44.264853,服装鞋帽,602.29,4,2409.16,4.2,支付宝,华南
ORD20260416000203,USER_00180,2026-02-22 20:33:41.264853,家居用品,421.83,4,1687.32,3.7,微信支付,华东
ORD20260416000073,USER_00132,2026-02-23 02:34:17.264853,家居用品,1000.0,1,1000.0,3.9,支付宝,华中
ORD20260416000069,USER_00081,2026-02-23 10:14:52.264853,美妆护肤,621.28,5,3106.4,4.1,支付宝,华东
ORD20260416000295,USER_00152,2026-02-23 11:06:14.264853,美妆护肤,1105.18,1,0.01,3.4,微信支付,华东
ORD20260416000079,USER_00054,2026-02-23 16:55:48.264853,服装鞋帽,521.09,2,1042.18,4.9,微信支付,华东
ORD20260416000034,USER_00170,2026-02-23 22:05:26.264853,服装鞋帽,800.0,2,1600.0,4.1,微信支付,西南
ORD20260416000310,USER_00153,2026-02-24 00:46:52.264853,服装鞋帽,549.12,2,1098.24,4.8,信用卡,华东
ORD20260416000051,USER_00018,2026-02-24 14:08:08.264853,食品饮料,300.0,1,300.0,4.5,支付宝,华东
ORD20260416000395,USER_00086,2026-02-24 16:53:45.264853,服装鞋帽,151.63,3,454.89,4.7,微信支付,华南
ORD20260416000416,USER_00135,2026-02-24 17:37:38.264853,电子产品,2122.78,1,2122.78,4.5,微信支付,华东
ORD20260416000500,USER_00016,2026-02-24 20:19:10.264853,电子产品,1175.27,1,1175.27,5.0,支付宝,东北
ORD20260416000375,USER_00095,2026-02-24 21:37:51.264853,食品饮料,180.83,2,361.66,4.1,信用卡,华中
ORD20260416000515,USER_00069,2026-02-24 21:48:45.264853,食品饮料,148.8,1,148.8,3.2,微信支付,华北
ORD20260416000334,USER_00033,2026-02-24 21:59:38.264853,电子产品,2264.12,1,2264.12,3.4,微信支付,华北
ORD20260416000525,USER_00033,2026-02-25 17:47:46.264853,服装鞋帽,665.96,2,1331.92,5.0,微信支付,华东
ORD20260416000501,USER_00189,2026-02-25 20:30:54.264853,食品饮料,103.64,1,103.64,4.6,信用卡,华北
ORD20260416000126,USER_00048,2026-02-25 21:39:44.264853,服装鞋帽,737.79,5,3688.95,3.0,微信支付,华东
ORD20260416000313,USER_00128,2026-02-25 22:21:18.264853,服装鞋帽,375.75,1,375.75,3.2,支付宝,西北
ORD20260416000052,USER_00132,2026-02-26 11:00:24.264853,电子产品,1262.66,4,5050.64,3.9,银行卡,华南
ORD20260416000413,USER_00152,2026-02-26 17:03:38.264853,电子产品,3327.35,3,9982.05,3.7,银行卡,华中
ORD20260416000036,USER_00015,2026-02-26 17:06:09.264853,电子产品,2270.63,2,4541.26,4.9,支付宝,华东
ORD20260416000247,USER_00187,2026-02-26 20:55:35.264853,电子产品,3484.37,1,3484.37,5.0,支付宝,华东
ORD20260416000312,USER_00146,2026-02-26 22:14:03.264853,服装鞋帽,376.54,1,376.54,4.0,微信支付,西北
ORD20260416000490,USER_00122,2026-02-27 00:00:43.264853,食品饮料,69.31,1,69.31,3.7,信用卡,华东
ORD20260416000473,USER_00147,2026-02-27 10:31:29.264853,电子产品,4790.62,1,4790.62,5.0,微信支付,西北
ORD20260416000229,USER_00160,2026-02-27 15:49:48.264853,食品饮料,83.93,2,167.86,3.9,银行卡,华东
ORD20260416000299,USER_00152,2026-02-28 02:34:07.264853,电子产品,3957.55,1,0.01,5.0,支付宝,华东
ORD20260416000262,USER_00161,2026-03-01 04:05:36.264853,电子产品,5000.0,4,20000.0,3.1,支付宝,华北
ORD20260416000468,USER_00013,2026-03-01 12:58:13.264853,家居用品,1000.0,2,2000.0,4.0,微信支付,华北
ORD20260416000469,USER_00114,2026-03-01 13:24:49.264853,食品饮料,123.61,1,123.61,4.7,支付宝,华北
ORD20260416000573,USER_00081,2026-03-01 15:23:46.264853,服装鞋帽,800.0,1,800.0,3.7,银行卡,西南
ORD20260416000063,USER_00188,2026-03-01 17:07:24.264853,电子产品,3614.48,1,3614.48,3.8,微信支付,华南
ORD20260416000075,USER_00134,2026-03-01 17:23:34.264853,家居用品,669.92,1,669.92,4.2,微信支付,华中
ORD20260416000092,USER_00082,2026-03-01 19:48:02.264853,美妆护肤,1011.22,1,1011.22,4.8,银行卡,华东
ORD20260416000572,USER_00035,2026-03-01 21:50:38.264853,食品饮料,250.28,3,750.84,3.9,微信支付,西北
ORD20260416000064,USER_00199,2026-03-01 22:11:14.264853,服装鞋帽,401.73,1,401.73,2.9,支付宝,华北
ORD20260416000261,USER_00052,2026-03-01 22:28:00.264853,食品饮料,224.71,1,224.71,4.3,微信支付,华南
ORD20260416000049,USER_00073,2026-03-02 02:58:44.264853,服装鞋帽,221.03,1,221.03,3.9,银行卡,华北
ORD20260416000505,USER_00022,2026-03-02 16:36:37.264853,美妆护肤,1341.54,1,1341.54,4.9,支付宝,华北
ORD20260416000256,USER_00195,2026-03-02 17:36:48.264853,家居用品,621.05,1,621.05,4.4,支付宝,华东
ORD20260416000135,USER_00101,2026-03-02 17:37:59.264853,电子产品,2879.71,1,2879.71,3.4,信用卡,西南
ORD20260416000482,USER_00117,2026-03-02 18:51:26.264853,家居用品,1000.0,1,1000.0,3.9,信用卡,华南
ORD20260416000579,USER_00162,2026-03-03 05:14:21.264853,服装鞋帽,400.06,1,400.06,5.0,银行卡,华北
ORD20260416000140,USER_00142,2026-03-03 07:35:01.264853,食品饮料,259.93,1,259.93,5.0,微信支付,华南
ORD20260416000102,USER_00045,2026-03-03 07:51:03.264853,服装鞋帽,800.0,2,1600.0,4.2,支付宝,华中
ORD20260416000359,USER_00035,2026-03-03 08:01:22.264853,电子产品,5000.0,1,5000.0,3.9,微信支付,华北
ORD20260416000518,USER_00190,2026-03-03 09:35:18.264853,家居用品,1000.0,2,2000.0,4.3,银行卡,华东
ORD20260416000457,USER_00196,2026-03-03 10:39:24.264853,家居用品,717.66,1,717.66,5.0,微信支付,华南
ORD20260416000193,USER_00137,2026-03-03 14:23:40.264853,家居用品,709.86,1,709.86,4.3,微信支付,华东
ORD20260416000264,USER_00128,2026-03-03 15:13:11.264853,服装鞋帽,542.79,1,542.79,3.4,银行卡,华南
ORD20260416000465,USER_00168,2026-03-03 21:59:33.264853,食品饮料,220.45,4,881.8,,微信支付,华东
ORD20260416000267,USER_00104,2026-03-04 10:28:56.264853,电子产品,2594.22,2,5188.44,5.0,支付宝,华中
ORD20260416000157,USER_00029,2026-03-05 05:11:06.264853,服装鞋帽,698.95,2,1397.9,3.6,微信支付,东北
ORD20260416000149,USER_00063,2026-03-05 08:36:28.264853,服装鞋帽,684.44,5,3422.2,4.3,支付宝,华南
ORD20260416000103,USER_00065,2026-03-05 09:19:28.264853,电子产品,1908.02,3,5724.06,4.1,微信支付,西北
ORD20260416000546,USER_00084,2026-03-05 10:13:55.264853,家居用品,1000.0,1,1000.0,4.7,支付宝,华中
ORD20260416000561,USER_00161,2026-03-05 10:20:11.264853,家居用品,214.54,5,10727.0,4.9,支付宝,华北
ORD20260416000015,USER_00104,2026-03-05 11:01:02.264853,食品饮料,236.98,1,2369.7999999999997,4.1,信用卡,华南
ORD20260416000385,USER_00025,2026-03-05 11:37:17.264853,食品饮料,300.0,2,600.0,4.6,信用卡,西南
ORD20260416000557,USER_00101,2026-03-05 12:13:56.264853,食品饮料,92.53,2,185.06,5.0,信用卡,华北
ORD20260416000258,USER_00148,2026-03-05 16:14:05.264853,电子产品,2801.17,2,5602.34,4.2,货到付款,华东
ORD20260416000553,USER_00161,2026-03-05 20:05:14.264853,美妆护肤,467.02,1,467.02,4.3,微信支付,华北
ORD20260416000369,USER_00124,2026-03-06 09:27:50.264853,电子产品,1375.09,1,1375.09,3.4,支付宝,华南
ORD20260416000242,USER_00198,2026-03-06 12:13:55.264853,美妆护肤,783.96,1,783.96,4.6,微信支付,华南
ORD20260416000597,USER_00099,2026-03-06 15:27:00.264853,食品饮料,213.17,1,213.17,5.0,支付宝,华东
ORD20260416000389,USER_00104,2026-03-06 21:14:20.264853,电子产品,5000.0,1,5000.0,4.6,银行卡,西南
ORD20260416000421,USER_00065,2026-03-07 00:01:26.264853,电子产品,2692.58,1,2692.58,3.9,微信支付,华南
ORD20260416000499,USER_00129,2026-03-07 00:56:33.264853,家居用品,354.19,2,708.38,,微信支付,华南
ORD20260416000207,USER_00052,2026-03-07 02:31:40.264853,服装鞋帽,436.61,2,873.22,2.1,银行卡,华北
ORD20260416000244,USER_00144,2026-03-07 03:16:58.264853,食品饮料,237.7,3,713.1,4.4,微信支付,华南
ORD20260416000436,USER_00063,2026-03-07 04:55:08.264853,食品饮料,185.95,1,185.95,3.9,微信支付,华东
ORD20260416000431,USER_00191,2026-03-07 05:33:51.264853,食品饮料,259.12,3,777.36,3.1,支付宝,西南
ORD20260416000344,USER_00182,2026-03-07 10:06:20.264853,食品饮料,40.15,1,40.15,4.7,支付宝,华中
ORD20260416000430,USER_00032,2026-03-07 10:52:25.264853,服装鞋帽,607.93,1,607.93,3.9,微信支付,华东
ORD20260416000349,USER_00030,2026-03-07 11:31:38.264853,食品饮料,103.81,3,311.43,3.3,支付宝,华中
ORD20260416000422,USER_00008,2026-03-07 12:37:14.264853,美妆护肤,1500.0,3,4500.0,5.0,,华东
ORD20260416000214,USER_00113,2026-03-07 13:17:53.264853,家居用品,194.41,3,583.23,4.0,银行卡,华中
ORD20260416000175,USER_00084,2026-03-07 13:26:07.264853,服装鞋帽,454.28,2,908.56,2.9,支付宝,华北
ORD20260416000215,USER_00184,2026-03-07 16:11:12.264853,电子产品,3393.54,3,10180.62,4.5,信用卡,华东
ORD20260416000343,USER_00051,2026-03-07 16:24:01.264853,家居用品,515.69,2,1031.38,2.8,货到付款,华东
ORD20260416000208,USER_00012,2026-03-07 19:07:07.264853,食品饮料,300.0,1,300.0,2.8,支付宝,华东
ORD20260416000350,USER_00097,2026-03-07 20:35:39.264853,电子产品,815.87,3,2447.61,3.3,货到付款,华南
ORD20260416000498,USER_00117,2026-03-07 21:11:16.264853,美妆护肤,909.36,1,909.36,4.5,微信支付,西南
ORD20260416000437,USER_00190,2026-03-07 22:01:59.264853,食品饮料,212.96,4,851.84,4.2,微信支付,西南
ORD20260416000539,USER_00004,2026-03-07 22:23:56.264853,食品饮料,253.02,3,759.06,4.3,微信支付,华南
ORD20260416000459,USER_00109,2026-03-08 00:35:03.264853,电子产品,3293.47,1,3293.47,4.1,银行卡,华南
ORD20260416000274,USER_00042,2026-03-08 06:37:04.264853,服装鞋帽,685.21,1,685.21,5.0,微信支付,华南
ORD20260416000542,USER_00080,2026-03-08 12:19:23.264853,服装鞋帽,800.0,3,2400.0,4.0,微信支付,华北
ORD20260416000543,USER_00002,2026-03-08 13:20:29.264853,家居用品,532.81,1,532.81,4.2,信用卡,华中
ORD20260416000023,USER_00038,2026-03-08 14:16:13.264853,服装鞋帽,624.07,2,1248.14,5.0,微信支付,东北
ORD20260416000315,USER_00082,2026-03-08 15:45:26.264853,服装鞋帽,210.3,1,210.3,3.6,银行卡,华北
ORD20260416000030,USER_00022,2026-03-08 16:37:33.264853,服装鞋帽,550.52,3,1651.56,2.5,支付宝,西南
ORD20260416000522,USER_00085,2026-03-08 16:58:46.264853,食品饮料,72.08,2,144.16,4.7,支付宝,西北
ORD20260416000024,USER_00130,2026-03-08 19:01:44.264853,美妆护肤,1500.0,2,3000.0,4.1,微信支付,华中
ORD20260416000209,USER_00039,2026-03-08 19:19:46.264853,美妆护肤,932.45,1,932.45,3.9,支付宝,华南
ORD20260416000210,USER_00130,2026-03-08 20:06:10.264853,食品饮料,300.0,2,600.0,4.1,信用卡,华南
ORD20260416000029,USER_00058,2026-03-08 20:20:41.264853,食品饮料,271.74,3,815.22,4.6,微信支付,华东
ORD20260416000460,USER_00116,2026-03-08 20:40:24.264853,电子产品,2797.33,1,2797.33,4.7,微信支付,西南
ORD20260416000316,USER_00194,2026-03-08 22:27:34.264853,电子产品,2283.4,1,2283.4,5.0,支付宝,华南
ORD20260416000523,USER_00039,2026-03-08 23:59:53.264853,美妆护肤,743.67,3,2231.01,3.6,支付宝,华东
ORD20260416000169,USER_00185,2026-03-09 12:58:19.264853,服装鞋帽,604.72,4,2418.88,3.9,信用卡,华南
ORD20260416000031,USER_00089,2026-03-09 15:24:37.264853,服装鞋帽,394.01,1,394.01,4.3,微信支付,华中
ORD20260416000035,USER_00188,2026-03-09 16:11:44.264853,电子产品,2987.48,2,5974.96,2.9,微信支付,华东
ORD20260416000226,USER_00130,2026-03-09 21:30:57.264853,服装鞋帽,447.21,1,447.21,5.0,支付宝,华东
ORD20260416000321,USER_00161,2026-03-09 21:38:12.264853,家居用品,449.82,3,1349.46,4.7,银行卡,华南
ORD20260416000509,USER_00154,2026-03-10 04:54:06.264853,食品饮料,187.37,1,187.37,4.6,银行卡,华东
ORD20260416000108,USER_00129,2026-03-10 11:04:53.264853,食品饮料,59.46,2,118.92,2.8,微信支付,西南
ORD20260416000184,USER_00027,2026-03-10 13:37:47.264853,服装鞋帽,250.24,3,750.72,4.9,微信支付,华南
ORD20260416000068,USER_00035,2026-03-10 16:21:57.264853,家居用品,494.67,1,494.67,4.3,支付宝,华南
ORD20260416000513,USER_00185,2026-03-10 16:33:29.264853,美妆护肤,322.3,1,322.3,4.1,支付宝,华东
ORD20260416000448,USER_00054,2026-03-11 03:23:16.264853,食品饮料,300.0,3,900.0,5.0,微信支付,华南
ORD20260416000588,USER_00120,2026-03-11 08:11:09.264853,服装鞋帽,436.65,1,436.65,3.2,银行卡,华南
ORD20260416000004,USER_00015,2026-03-11 21:27:46.264853,食品饮料,169.57,1,169.57,3.0,微信支付,华东
ORD20260416000514,USER_00029,2026-03-11 21:30:59.264853,家居用品,182.6,1,182.6,3.8,支付宝,华东
ORD20260416000162,USER_00187,2026-03-11 22:34:12.264853,服装鞋帽,800.0,2,1600.0,2.7,支付宝,华南
ORD20260416000086,USER_00095,2026-03-12 20:38:45.264853,电子产品,4659.62,1,4659.62,4.1,微信支付,华南
ORD20260416000567,USER_00141,2026-03-12 20:48:16.264853,美妆护肤,525.92,1,525.92,5.0,支付宝,华北
ORD20260416000236,USER_00145,2026-03-12 21:32:34.264853,电子产品,3707.06,1,3707.06,5.0,微信支付,华东
ORD20260416000275,USER_00099,2026-03-12 22:46:33.264853,电子产品,4551.37,3,13654.11,5.0,支付宝,华中
ORD20260416000111,USER_00139,2026-03-13 07:41:34.264853,电子产品,3508.48,2,7016.96,3.3,微信支付,华南
ORD20260416000100,USER_00157,2026-03-13 12:55:45.264853,服装鞋帽,578.02,1,578.02,5.0,微信支付,华东
ORD20260416000191,USER_00200,2026-03-13 19:32:59.264853,家居用品,464.85,1,464.85,2.8,支付宝,东北
ORD20260416000296,USER_00054,2026-03-13 19:59:28.264853,电子产品,1572.66,2,3145.32,4.1,支付宝,华南
ORD20260416000124,USER_00162,2026-03-14 03:59:47.264853,服装鞋帽,393.86,3,1181.58,4.6,微信支付,华南
ORD20260416000090,USER_00190,2026-03-14 12:29:24.264853,电子产品,954.34,1,954.34,2.4,微信支付,西南
ORD20260416000076,USER_00054,2026-03-14 16:44:33.264853,电子产品,2587.65,1,2587.65,5.0,支付宝,华东
ORD20260416000077,USER_00106,2026-03-14 21:42:39.264853,电子产品,2626.06,3,7878.18,3.4,信用卡,西南
ORD20260416000037,USER_00190,2026-03-14 22:25:20.264853,电子产品,3443.21,4,13772.84,4.5,微信支付,华北
ORD20260416000538,USER_00069,2026-03-15 02:38:49.264853,电子产品,1258.29,1,1258.29,4.6,微信支付,华北
ORD20260416000317,USER_00054,2026-03-15 16:41:35.264853,食品饮料,300.0,1,0.01,4.0,货到付款,西南
ORD20260416000283,USER_00129,2026-03-15 18:40:25.264853,电子产品,1335.55,1,1335.55,4.5,微信支付,华东
ORD20260416000318,USER_00163,2026-03-15 19:01:48.264853,电子产品,5000.0,1,5000.0,3.1,支付宝,华东
ORD20260416000537,USER_00001,2026-03-15 19:25:03.264853,家居用品,388.92,1,388.92,2.6,支付宝,华东
ORD20260416000388,USER_00067,2026-03-16 06:06:51.264853,美妆护肤,239.82,4,959.28,3.5,微信支付,华东
ORD20260416000489,USER_00058,2026-03-16 07:41:57.264853,家居用品,289.92,1,289.92,5.0,微信支付,华东
ORD20260416000398,USER_00127,2026-03-16 11:07:20.264853,电子产品,2057.3,1,2057.3,4.1,信用卡,华北
ORD20260416000403,USER_00161,2026-03-16 13:59:05.264853,家居用品,328.66,4,1314.64,3.5,信用卡,华北
ORD20260416000560,USER_00065,2026-03-17 08:48:18.264853,食品饮料,89.03,1,89.03,3.2,支付宝,华东
ORD20260416000243,USER_00139,2026-03-17 16:19:01.264853,家居用品,731.16,1,731.16,3.3,微信支付,华中
ORD20260416000268,USER_00129,2026-03-17 16:55:46.264853,家居用品,358.75,1,358.75,5.0,支付宝,华南
ORD20260416000017,USER_00131,2026-03-17 17:37:29.264853,电子产品,5000.0,2,10000.0,4.5,银行卡,华中
ORD20260416000248,USER_00070,2026-03-17 22:46:30.264853,服装鞋帽,800.0,3,2400.0,3.2,微信支付,华东
ORD20260416000083,USER_00162,2026-03-18 01:41:33.264853,服装鞋帽,800.0,1,800.0,4.6,银行卡,华东
ORD20260416000010,USER_00122,2026-03-18 03:09:06.264853,服装鞋帽,564.1,2,1128.2,3.6,微信支付,华南
ORD20260416000177,USER_00190,2026-03-18 04:07:14.264853,服装鞋帽,626.24,2,1252.48,5.0,银行卡,华南
ORD20260416000410,USER_00099,2026-03-18 07:20:08.264853,服装鞋帽,433.2,4,1732.8,4.2,支付宝,华南
ORD20260416000329,USER_00136,2026-03-18 09:08:14.264853,家居用品,423.0,2,846.0,3.7,微信支付,西北
ORD20260416000387,USER_00058,2026-03-18 15:13:05.264853,服装鞋帽,380.31,2,760.62,4.0,银行卡,华北
ORD20260416000486,USER_00137,2026-03-18 15:53:18.264853,服装鞋帽,268.56,1,268.56,3.9,支付宝,华中
ORD20260416000569,USER_00095,2026-03-18 21:09:20.264853,食品饮料,300.0,2,6000.0,3.9,微信支付,华东
ORD20260416000328,USER_00128,2026-03-18 21:21:27.264853,服装鞋帽,445.13,3,1335.39,4.1,微信支付,西南
ORD20260416000084,USER_00190,2026-03-19 00:54:12.264853,家居用品,461.22,1,461.22,3.5,支付宝,华东
ORD20260416000377,USER_00188,2026-03-19 10:49:44.264853,食品饮料,178.68,4,714.72,3.3,微信支付,华东
ORD20260416000548,USER_00140,2026-03-19 13:24:12.264853,电子产品,3155.7,1,3155.7,4.3,微信支付,华南
ORD20260416000512,USER_00086,2026-03-19 16:03:55.264853,食品饮料,174.8,1,174.8,3.4,支付宝,华南
ORD20260416000129,USER_00037,2026-03-19 18:26:12.264853,食品饮料,163.97,1,163.97,4.6,支付宝,华北
ORD20260416000153,USER_00132,2026-03-19 19:53:00.264853,电子产品,2521.45,2,5042.9,4.0,支付宝,华东
ORD20260416000527,USER_00023,2026-03-19 21:10:38.264853,美妆护肤,1087.49,2,2174.98,5.0,支付宝,华南
ORD20260416000266,USER_00082,2026-03-19 22:42:33.264853,家居用品,302.11,4,1208.44,5.0,支付宝,华东
ORD20260416000399,USER_00155,2026-03-20 01:24:14.264853,食品饮料,271.2,1,271.2,3.7,支付宝,西南
ORD20260416000363,USER_00172,2026-03-20 03:04:12.264853,食品饮料,237.97,3,713.91,4.5,微信支付,华东
ORD20260416000438,USER_00125,2026-03-20 03:32:09.264853,电子产品,3288.11,1,3288.11,3.7,支付宝,西南
ORD20260416000396,USER_00151,2026-03-20 07:02:34.264853,电子产品,3622.25,2,7244.5,,微信支付,华南
ORD20260416000127,USER_00151,2026-03-20 14:28:50.264853,家居用品,717.06,4,2868.24,5.0,微信支付,华中
ORD20260416000291,USER_00147,2026-03-20 20:40:22.264853,食品饮料,222.43,1,222.43,5.0,支付宝,华东
ORD20260416000188,USER_00003,2026-03-21 00:17:29.264853,服装鞋帽,388.23,2,776.46,5.0,支付宝,华南
ORD20260416000179,USER_00128,2026-03-21 00:28:43.264853,电子产品,896.97,4,3587.88,4.0,银行卡,华北
ORD20260416000600,USER_00152,2026-03-21 11:29:05.264853,服装鞋帽,347.84,1,347.84,4.1,微信支付,华南
ORD20260416000189,USER_00103,2026-03-21 12:45:46.264853,家居用品,448.97,1,448.97,4.3,支付宝,华东
ORD20260416000178,USER_00075,2026-03-21 13:49:51.264853,家居用品,256.34,2,512.68,3.5,支付宝,华北
ORD20260416000147,USER_00124,2026-03-21 20:09:40.264853,电子产品,3306.34,2,6612.68,3.8,银行卡,华中
ORD20260416000058,USER_00053,2026-03-21 20:48:16.264853,美妆护肤,1078.94,1,1078.94,4.3,支付宝,华南
ORD20260416000148,USER_00179,2026-03-21 22:27:59.264853,美妆护肤,731.32,1,731.32,3.6,微信支付,华北
ORD20260416000059,USER_00130,2026-03-21 22:54:48.264853,电子产品,1879.03,1,1879.03,4.3,微信支付,华北
ORD20260416000142,USER_00027,2026-03-22 00:31:12.264853,美妆护肤,1467.48,1,1467.48,3.5,信用卡,华南
ORD20260416000199,USER_00059,2026-03-22 03:12:29.264853,美妆护肤,730.08,1,730.08,5.0,微信支付,华北
ORD20260416000055,USER_00014,2026-03-22 03:43:43.264853,食品饮料,180.23,2,360.46,4.5,微信支付,华东
ORD20260416000580,USER_00115,2026-03-22 06:13:26.264853,家居用品,903.68,1,903.68,4.6,微信支付,西北
ORD20260416000198,USER_00152,2026-03-22 11:01:32.264853,服装鞋帽,145.53,3,436.59,3.8,支付宝,华中
ORD20260416000228,USER_00172,2026-03-22 11:43:19.264853,服装鞋帽,331.6,2,663.2,4.5,微信支付,华中
ORD20260416000428,USER_00098,2026-03-22 12:48:59.264853,服装鞋帽,343.64,4,1374.56,4.0,银行卡,华东
ORD20260416000346,USER_00027,2026-03-22 13:40:48.264853,服装鞋帽,800.0,3,2400.0,4.6,支付宝,东北
ORD20260416000337,USER_00115,2026-03-22 16:46:48.264853,电子产品,4659.62,1,4659.62,3.9,支付宝,华东
ORD20260416000429,USER_00066,2026-03-22 17:20:51.264853,食品饮料,267.65,1,267.65,3.7,支付宝,华北
ORD20260416000345,USER_00008,2026-03-22 18:41:53.264853,服装鞋帽,536.4,2,1072.8,5.0,支付宝,华北
ORD20260416000227,USER_00053,2026-03-22 19:19:36.264853,食品饮料,111.28,1,111.28,3.7,微信支付,华中
